plateNo,carBrand
鲁B62B23,江淮卡车
鲁BR059K,大众家用车
鲁UT6504,大众出租车
鲁BR757N,宝马
鲁BV0Y21,大众家用车
鲁BV0Y21,大众家用车
鲁BC285F,长安面包车
鲁CNZ930,大众家用车
鲁UT1551,大众出租车
鲁B93728,起亚
鲁BK8P52,大众家用车
鲁B267JM,起亚
鲁B30E21,起亚
鲁BK2606,公交车
闽AKG626,公交车
闽AKG626,公交车
陕A969CT,东风面包车
鲁BQ211Q,雪佛兰
鲁BQ201Q,别克
鲁BM537Y,雪铁龙
鲁UT9768,大众出租车
鲁BVH771,五菱
鲁BK0X72,奥迪
鲁UN6387,福田大卡
鲁UN6387,福田大卡
鲁UQ5550,东风面包车
鲁B52J92,日产
鲁BW799W,本田
鲁BV110D,丰田
鲁BY2509,雪佛兰
鲁BV8K25,长安面包车
鲁BPF220,日产
鲁BL139T,江淮
鲁B0907学,大众出租车
鲁H1W736,现代
鲁BS7179,黄牌卡车
鲁B529FG,起亚
鲁B972J6,奇瑞
鲁BU9E92,丰田
鲁B185MY,宝马
鲁UY8131,大众家用车
鲁UT0419,大众出租车
鲁YVF512,五菱
鲁BP277C,比亚迪
鲁BP277C,比亚迪
鲁BL681V,丰田
鲁BK2Q05,五菱
鲁UN3597,福田小卡
鲁B3EA07,起亚
鲁UT2744,大众出租车
鲁B77S68,丰田
鲁BX365H,五菱
鲁BS667R,福田小卡
鲁BFH997,奇瑞
鲁BFH997,奇瑞
鲁BV5F73,现代
鲁BA662N,江铃
鲁BH196U,东风面包车
鲁B307DM,雪佛兰
鲁BR3G28D,金杯卡车
鲁B6L529,奇瑞
鲁BM860M,东风
鲁UT4338,大众出租车
鲁BN0Y62,福田小卡
鲁BWX023,现代
鲁UT7812,大众出租车
吉BEN839,大众出租车
鲁BS7P30,长城
鲁BS920M,五菱
鲁BT1237,大众出租车
鲁BU919X,起亚
鲁BV136J,福田大卡
鲁BY188P,其他
鲁BY188P,其他
鲁BT0156,大众出租车
吉F53999,黄牌大巴
鲁BG6887,黄牌大巴
鲁B859C2,五菱
鲁B25E39,五菱
鲁BV8Q77,荣威
鲁BD9E83,本田
鲁BUS566,现代
鲁BA5S15,福田小卡
鲁BA5S15,福田小卡
鲁BMW552,比亚迪
津BK7739,现代
鲁BV3X65,起亚
鲁UT5803,大众出租车
鲁BV105T,五菱
鲁BC702G,五菱
鲁B117JX,马自达
鲁B018AA,福特
鲁BX599L,马自达
苏H1B906,大众家用车
鲁UT5947,大众出租车
鲁BA8X18,大众家用车
鲁BT1630,大众出租车
鲁B766AT,丰田
鲁BS3N05,雪佛兰
鲁B097BS,奥迪
鲁B3F716,大众家用车
鲁BF8187,黄牌卡车
鲁UT5462,大众出租车
鲁G7557T,别克商务车
鲁B113J2,奇瑞
鲁B73D81,哈飞
鲁BXS752,现代
鲁BXS752,现代
鲁BF3J16,福特
鲁BY289K,长城
鲁B753F9,长安面包车
鲁BX773Q,日产
鲁BX773Q,日产
鲁VJW318,标致
鲁BV7787,黄牌卡车
鲁B3U801,五菱
鲁JXX559,福特
鲁LKH899,长安
鲁B86X50,荣威
鲁BH2M35,本田
鲁B0CK61,日产
鲁F26620,现代
鲁B275H3,日产
鲁B36990,黄牌大巴
鲁BJ9Y77,本田
鲁BP3Y11,五菱
鲁UT3729,大众出租车
鲁BG622V,奇瑞
京ADMW2717,黄牌卡车
京P35078,丰田
鲁BK1938,黄牌卡车
鲁BK6E22,五菱
鲁F21671,黄牌大巴
鲁L83982,福田大卡
鲁B2EN77,长安面包车
鲁B380MN,其他
鲁BM3A68,雪铁龙
鲁B858E3,长安面包车
鲁B00B83,雪佛兰
鲁BQ6722,黄牌卡车
鲁BE0D12,五菱
鲁UT6121,大众出租车
鲁UT0063,大众出租车
鲁BQ4683,福特
鲁BQ4683,福特
鲁BU329T,丰田
鲁BJ356S,福田大卡
鲁B959JN,东风面包车
鲁BFV525,其他
鲁UT4332,大众出租车
鲁BEE368,五菱
鲁BWQ919,本田
鲁BAD575,其他
冀T33253,黄牌卡车
豫NBG520,宝马
鲁BV806N,江淮
鲁B36E87,一汽卡车
鲁Q969F6,本田
鲁BP156X,五菱
鲁BU8772,江铃
鲁BU8772,江铃
鲁UT7167,大众出租车
鲁BSN563,五菱
鲁B232G9,江淮面包车
鲁B232G9,江淮面包车
鲁B232G9,江淮面包车
鲁BN176E,东风面包车
鲁BA2E21,起亚
京N40C77,日产越野车
陕A63J02,现代
鲁BC0E56,马自达
鲁UT6304,大众出租车
鲁B99M07,五菱
鲁BG2076,黄牌大巴
鲁B95L77,东风
鲁B681GC,宝马
鲁B681GC,宝马
鲁B700HM,雪佛兰
鲁B7DD96,江淮卡车
鲁BE7U87,长安面包车
鲁BE663G,雪佛兰
鲁BU025K,日产
鲁BCU330,别克
鲁VD996A,其他
鲁BR393Y,马自达
京N3X810,现代
鲁UT5487,大众出租车
鲁BU522M,长安面包车
